Timestamp (UTC);Transaction Description;Currency;Amount;To Currency;To Amount;Native Currency;Native Amount;Native Amount (in USD);Transaction Kind
2021-12-21 20:29:35;USDC -> SLP;USDC;-20,52841;SLP;650,0;EUR;18,14;20,5695195868;crypto_exchange
2021-12-20 20:54:30;Mission Rewards Deposit;CRO;0,7;;;EUR;0,3;0,340179486;rewards_platform_deposit_credited
2021-12-20 20:50:57;USDC -> THETA;USDC;-20,442622;THETA;5,0;EUR;18,07;20,4901443734;crypto_exchange
2021-12-19 21:24:19;USDC -> MIR;USDC;-20,936484;MIR;8,0;EUR;18,57;21,0571101834;crypto_exchange
2021-12-19 10:21:47;Card Cashback;CRO;1,42332928;;;EUR;0,67;0,7597341854;referral_card_cashback
2021-12-18 14:39:47;Card Cashback;CRO;1,7025738;;;EUR;0,81;0,9184846122;referral_card_cashback
2021-12-18 14:27:33;Card Cashback;CRO;1,49654294;;;EUR;0,71;0,8050914502;referral_card_cashback
2021-12-17 07:52:43;Card Cashback;CRO;0,31937303;;;EUR;0,15;0,170089743;referral_card_cashback
2021-12-16 13:07:59;Card Cashback;CRO;0,42433178;;;EUR;0,21;0,2381256402;referral_card_cashback
2021-12-16 12:42:11;Card Cashback;CRO;0,15804154;;;EUR;0,08;0,0907145296;referral_card_cashback
2021-12-14 22:02:12;Mission Rewards Deposit;CRO;2,0;;;EUR;0,96;1,0885743552;rewards_platform_deposit_credited
2021-12-14 22:00:20;Buy USDC;USDC;500,0;;;EUR;445,47;505,1325187614;crypto_purchase
2021-12-10 17:57:52;Card Cashback;CRO;0,6268859;;;EUR;0,31;0,3515188022;referral_card_cashback
2021-12-10 17:33:45;Card Cashback;CRO;4,32091499;;;EUR;2,14;2,4266136668;referral_card_cashback
2021-12-06 17:53:36;Card Cashback;CRO;5,01497462;;;EUR;2,45;2,778132469;referral_card_cashback
2021-12-04 16:59:15;Mission Rewards Deposit;CRO;1,9;;;EUR;0,96;1,0885743552;rewards_platform_deposit_credited
2021-12-04 14:33:02;Buy ATOM;ATOM;5,0;;;EUR;115,77;131,2752636474;crypto_purchase
2021-12-04 14:26:33;Buy ETH;ETH;0,03;;;EUR;107,08;121,4213978696;crypto_purchase
2021-12-04 14:23:43;Buy BAT;BAT;60,0;;;EUR;57,98;65,7453553276;crypto_purchase
2021-12-04 14:18:31;Buy YGG;YGG;20,0;;;EUR;109,59;124,2675662358;crypto_purchase
2021-12-04 14:15:34;Buy LTC;LTC;0,8;;;EUR;111,52;126,4560542624;crypto_purchase
2021-12-04 14:12:55;Buy EGLD;EGLD;0,4;;;EUR;105,91;120,0946978742;crypto_purchase
2021-12-04 14:10:27;Buy ALICE;ALICE;8,0;;;EUR;104,66;118,6772833492;crypto_purchase
2021-12-02 17:44:51;Card Cashback;CRO;1,12086975;;;EUR;0,69;0,7824128178;referral_card_cashback
2021-12-02 17:44:34;Card Cashback;CRO;1,12116135;;;EUR;0,69;0,7824128178;referral_card_cashback
2021-11-30 16:25:13;Card Cashback;CRO;0,43310142;;;EUR;0,27;0,3061615374;referral_card_cashback
2021-11-30 11:54:47;Buy EGLD;EGLD;0,2;;;EUR;69,7;79,035033914;crypto_purchase
2021-11-30 11:51:24;Buy WTC;WTC;100,0;;;EUR;87,64;99,3777671768;crypto_purchase
2021-11-30 11:34:35;Buy CHZ;CHZ;250,0;;;EUR;100,84;114,3456645608;crypto_purchase
2021-11-29 06:48:58;Card Cashback;CRO;3,42728549;;;EUR;2,33;2,6420606746;referral_card_cashback
2021-11-27 14:07:43;Card Cashback;CRO;4,54360011;;;EUR;3,2;3,628581184;referral_card_cashback
2021-11-26 21:26:22;Mission Rewards Deposit;CRO;1,8;;;EUR;1,11;1,2586640982;rewards_platform_deposit_credited
2021-11-26 21:22:45;Buy EGLD;EGLD;0,2;;;EUR;73,17;82,9697766354;crypto_purchase
2021-11-26 21:18:17;Buy SOL;SOL;0,663;;;EUR;118,21;134,0420568002;crypto_purchase
2021-11-26 21:14:57;Buy XLM;XLM;100,0;;;EUR;30,19;34,2333956078;crypto_purchase
2021-11-26 19:54:27;Supercharger Deposit (via app);CRO;-100,0;;;EUR;-60,49;-68,5915236938;supercharger_deposit
2021-11-26 14:06:17;Buy BTC;BTC;0,0025;;;EUR;122,1;138,453050802;crypto_purchase
